papers,host,parasite,index
"OLSON, P.D. et.al. (2001) [7374]",Alopias superciliosus,Litobothrium amplifica,7374
"IVAN MERLO-SERNA, A. et.al. (2016) [23771]",Alopias superciliosus,Litobothrium amplifica,23771
"DAILEY, M.D. (1969) [16293]",Alopias superciliosus,Litobothrium coniformis,16293
"KUROCHKIN, V.B. et.al. (1973) [16217]",Alopias superciliosus,Litobothrium daileyi,16217
"OLSON, P.D. et.al. (2001) [7374]",Alopias superciliosus,Litobothrium daileyi,7374
"IVAN MERLO-SERNA, A. et.al. (2016) [23771]",Alopias superciliosus,Litobothrium daileyi,23771
"OLSON, P.D. et.al. (2001) [7374]",Alopias superciliosus,Litobothrium janovyi,7374
"HEALY, C.J. et.al. (2009) [16908]",Alopias superciliosus,Litobothrium janovyi,16908
"IVAN MERLO-SERNA, A. et.al. (2016) [23771]",Alopias superciliosus,Litobothrium janovyi,23771
"SPERONE, E. et.al. (2018) [26119]",Alopias superciliosus,Litobothrium sp,26119
"PALM, H.W. (2004) [16112]",Alopias superciliosus,Mixonybelinia lepturi,16112
"PALM, H.W. (2004) [16112]",Alopias superciliosus,Molicola walteri,16112
"PALM, H.W. (2004) [16112]",Alopias superciliosus,Nybelinia africana,16112
"PALM, H.W. (2004) [16112]",Alopias superciliosus,Nybelinia indica,16112
"PALM, H.W. (2004) [16112]",Alopias superciliosus,Sphyriocephalus dollfusi,16112
"HEINZ, M.L. et.al. (1974) [16323]",Alopias superciliosus,Sphyriocephalus pelorosoma,16323
"PALM, H.W. (2004) [16112]",Alopias superciliosus,Sphyriocephalus pelorosoma,16112
"PALM, H.W. (2004) [16112]",Alopias superciliosus,Sphyriocephalus sp,16112
"PALM, H.W. (2004) [16112]",Alopias superciliosus,Sphyriocephalus viridis,16112
"DALLARES, S. et.al. (2017) [25091]",Alopias superciliosus,Sphyriocephalus viridis,25091
"SPERONE, E. et.al. (2018) [26119]",Alopias superciliosus,Anisakis sp,26119
"CRESSEY, R.F. (1966) [16542]",Alopias superciliosus,Bariaka alopiae,16542
"CRESSEY, R.F. (1967) [16583]",Alopias superciliosus,Bariaka alopiae,16583
"ROKICKI, J. et.al. (1987) [17259]",Alopias superciliosus,Bariaka alopiae,17259
"DIPPENAAR, S.M. (2004) [15303]",Alopias superciliosus,Bariaka alopiae,15303
"RODRÍGUEZ, E. et.al. (2019) [28059]",Alopias superciliosus,Bariaka alopiae,28059
"NASHAD, M. et.al. (2019) [28156]",Alopias superciliosus,Bariaka alopiae,28156
"CRESSEY, R.F. (1967) [16599]",Alopias superciliosus,Dinemoura discrepans,16599
"ROKICKI, J. et.al. (1987) [17259]",Alopias superciliosus,Dinemoura discrepans,17259
"DIPPENAAR, S.M. (2004) [15303]",Alopias superciliosus,Dinemoura discrepans,15303
"HO, J.-S. et.al. (2011) [14993]",Alopias superciliosus,Dinemoura discrepans,14993
"SANTANDER-NETO, J. et.al. (2013) [19356]",Alopias superciliosus,Dinemoura discrepans,19356
"HENDERSON, A.C. et.al. (2013) [19355]",Alopias superciliosus,Dinemoura discrepans,19355
"CRESSEY, R.F. (1967) [16583]",Alopias superciliosus,Dinemoura sp,16583
"HO, J.-S. et.al. (2012) [21826]",Alopias superciliosus,Echthrogaleus asiaticus,21826
"ROKICKI, J. et.al. (1987) [17259]",Alopias superciliosus,Echthrogaleus denticulatus,17259
"SANTANDER-NETO, J. et.al. (2013) [19356]",Alopias superciliosus,Echthrogaleus denticulatus,19356
"HENDERSON, A.C. et.al. (2013) [19355]",Alopias superciliosus,Echthrogaleus denticulatus,19355
"ROKICKI, J. et.al. (1987) [17259] (used parasite: Nesippus borealis )",Alopias superciliosus,Nogagus borealis,17259
"CRESSEY, R.F. (1963) [12170]",Alopias superciliosus,Pagina tunica,12170
"CRESSEY, R.F. (1967) [16583]",Alopias superciliosus,Pagina tunica,16583
"CRESSEY, R.F. (1967) [16599]",Alopias superciliosus,Pagina tunica,16599
"ROKICKI, J. et.al. (1987) [17259]",Alopias superciliosus,Pagina tunica,17259
"DIPPENAAR, S.M. (2004) [15303]",Alopias superciliosus,Pagina tunica,15303
"PURIVIROJKUL, W. et.al. (2009) [16578]",Alopias superciliosus,Pagina tunica,16578
"PURIVIROJKUL, W. et.al. (2009) [22562]",Alopias superciliosus,Pagina tunica,22562
"HO, J.-S. et.al. (2011) [17377]",Alopias superciliosus,Pagina tunica,17377
"ROKICKI, J. et.al. (1987) [17259]",Alopias superciliosus,Pandarus satyrus,17259
"PRICE, E.W. (1938) [17134]",Alopias vulpinus,Cathariotrema selachii,17134
"SPROSTON, N.G. (1946) [17150]",Alopias vulpinus,Cathariotrema selachii,17150
"HENDRIX, S.S. (1994) [17205]",Alopias vulpinus,Cathariotrema selachii,17205
"CAIRA, J.N. et.al. (2020) [28988]",Alopias vulpinus,Clistobothrium sp,28988
"PALM, H.W. (2004) [16112]",Alopias vulpinus,Hepatoxylon trichiuri,16112
"PALM, H.W. (2004) [16112] (used parasite: Sphyriocephalus tergestinus )",Alopias vulpinus,Heterosphyriocephalus tergestinus,16112
"DALLARES, S. et.al. (2017) [25091]",Alopias vulpinus,Heterosphyriocephalus tergestinus,25091
"PRETI, A. et.al. (2020) [28715]",Alopias vulpinus,Lacistorhynchus dollfusi,28715
"PALM, H.W. (2004) [16112]",Alopias vulpinus,Lacistorhynchus tenuis,16112
"PRETI, A. et.al. (2020) [28715]",Alopias vulpinus,Molicola sp,28715
"YAMAGUTI, S. (1952) [16129] (used parasite: Floriceps uncinatus | used host: Vulpecula marina)",Alopias vulpinus,Molicola uncinatus,16129
"PALM, H.W. (2004) [16112]",Alopias vulpinus,Molicola uncinatus,16112
"YAMAGUTI, S. (1952) [16129] ( used host: Vulpecula marina)",Alopias vulpinus,Monorygma megacotyla,16129
"YAMAGUTI, S. (1934) [16458] (used parasite: Anthobothrium parvum )",Alopias vulpinus,Paraorygmatobothrium exiguum,16458
"YAMAGUTI, S. (1952) [16129] (used parasite: Phyllobothrium filiforme )",Alopias vulpinus,Paraorygmatobothrium filiforme,16129
"WILLIAMS, H.H. (1968) [16443] (used parasite: Phyllobothrium filiforme )",Alopias vulpinus,Paraorygmatobothrium filiforme,16443
"PRETI, A. et.al. (2020) [28715] (used parasite: Paraorygmatobothrium sp. )",Alopias vulpinus,Paraorygmatobothrium sp,28715
"YAMAGUTI, S. (1952) [16129] (used parasite: Marsupiobothrium alopias )",Alopias vulpinus,Scyphophyllidium alopias,16129
"IVANOV, V.A. (2006) [16206] (used parasite: Marsupiobothrium alopias )",Alopias vulpinus,Scyphophyllidium alopias,16206
"CANAVAN, W.P. (1928) [15075] (used parasite: Crossobothrium angustum | used host: Alopias vulpes)",Alopias vulpinus,Scyphophyllidium angustum,15075
"CARVAJAL, J. (1974) [16182] (used parasite: Crossobothrium angustum )",Alopias vulpinus,Scyphophyllidium angustum,16182
"ALVES, P.V. et.al. (2017) [25154] (used parasite: Paraorygmatobothrium angustum )",Alopias vulpinus,Scyphophyllidium angustum,25154
"RUHNKE, T.R. (1994) [16387] (used parasite: Paraorygmatobothrium exiguum )",Alopias vulpinus,Scyphophyllidium exiguum,16387
"RUHNKE, T.R. (1996) [16200] (used parasite: Paraorygmatobothrium filiforme )",Alopias vulpinus,Scyphophyllidium filiforme,16200
"PALM, H.W. (2004) [16112]",Alopias vulpinus,Sphyriocephalus viridis,16112
"ADAMS, A.M. et.al. (1998) [7600]",Alopias vulpinus,Campula oblonga,7600
"PRETI, A. et.al. (2020) [28715]",Alopias vulpinus,Anisakis sp,28715
"PRETI, A. et.al. (2020) [28715]",Alopias vulpinus,Hysterothylacium sp,28715
"PRETI, A. et.al. (2020) [28715]",Alopias vulpinus,Piscicapillaria sp,28715
"PRETI, A. et.al. (2020) [28715]",Alopias vulpinus,Rhadinorhynchus cololabis,28715
"CRESSEY, R.F. (1967) [16599]",Alopias vulpinus,Dinemoura discrepans,16599
"RAIBAUT, A. et.al. (1998) [16609]",Alopias vulpinus,Dinemoura producta,16609
"CRESSEY, R.F. (1967) [16583]",Alopias vulpinus,Dinemoura sp,16583
"CRESSEY, R.F. (1967) [16599]",Alopias vulpinus,Echthrogaleus denticulatus,16599
"CRESSEY, R.F. (1967) [16583]",Alopias vulpinus,Echthrogaleus denticulatus,16583
"CRESSEY, R.F. (1967) [16583]",Alopias vulpinus,Gangliopus pyriformis,16583
"IZAWA, K. (2010) [14330]",Alopias vulpinus,Gangliopus pyriformis,14330
"IZAWA, K. (2010) [14327]",Alopias vulpinus,Gangliopus pyriformis,14327
"DEETS, G.B. (1987) [15948]",Alopias vulpinus,Kroyerina benzorum,15948
"CRESSEY, R.F. (1967) [16583]",Alopias vulpinus,Nemesis aggregatus,16583
"RAIBAUT, A. et.al. (1998) [16609]",Alopias vulpinus,Nemesis lamna,16609
"MANGENA, T. et.al. (2014) [21355]",Alopias vulpinus,Nemesis lamna,21355
"HEWITT, G.C. et.al. (1972) [16602]",Alopias vulpinus,Nemesis robusta,16602
"BENZ, G.W. et.al. (1990) [15951]",Alopias vulpinus,Nemesis robusta,15951
"RAIBAUT, A. et.al. (1998) [16609]",Alopias vulpinus,Nemesis robusta,16609
"DIPPENAAR, S.M. (2004) [15303]",Alopias vulpinus,Nemesis robusta,15303
"SCHAEFFNER, B.C. et.al. (2019) [27172]",Alopias vulpinus,Nemesis robusta,27172
"SCHAEFFNER, B.C. et.al. (2019) [27172]",Alopias vulpinus,Nemesis sp,27172
"RAIBAUT, A. et.al. (1998) [16609]",Alopias vulpinus,Nesippus orientalis,16609
"DIPPENAAR, S.M. et.al. (2006) [15304]",Alopias vulpinus,Nesippus orientalis,15304
"DIPPENAAR, S.M. et.al. (2012) [15284]",Alopias vulpinus,Nesippus orientalis,15284
"SCHAEFFNER, B.C. et.al. (2019) [27172]",Alopias vulpinus,Nesippus orientalis,27172
"CRESSEY, R.F. (1967) [16583]",Alopias vulpinus,Pandarus cranchii,16583
"CRESSEY, R.F. (1967) [16599]",Alopias vulpinus,Pandarus smithii,16599
"CRESSEY, R.F. (1967) [16583]",Alopias vulpinus,Pandarus smithii,16583
"PRETI, A. et.al. (2020) [28715]",Alopias vulpinus,Pennella sp,28715
"IRIGOITIA, M.M. et.al. (2014) [21281]",Amblyraja doellojuradoi,Merizocotyle euzeti,21281
"BRICKLE, P. et.al. (2002) [21203] ( used host: Raja doellojuradoi)",Amblyraja doellojuradoi,Otodistomum plunketi,21203
"IRIGOITIA, M.M. et.al. (2017) [25303]",Amblyraja doellojuradoi,Pseudanisakis argentinensis,25303
"NACARI, L.A. et.al. (2019) [27907]",Amblyraja frerichsi,Acanthocotyle imo,27907
"WOJCIECHOWSKA, A. (1991) [16452] (used parasite: Phyllobothrium georgiense | used host: Raja georgiana)",Amblyraja georgiana,Anthocephalum georgiense,16452
"ROCKA, A. (2003) [21490] ( used host: Raja georgiana)",Amblyraja georgiana,Anthocephalum georgiense,21490
"WOJCIECHOWSKA, A. (1991) [16453] ( used host: Raja georgiana)",Amblyraja georgiana,Echinobothrium acanthocolle,16453
"ROCKA, A. (2003) [21490] ( used host: Raja georgiana)",Amblyraja georgiana,Echinobothrium acanthocolle,21490
"TYLER, G.A. (2006) [16430] ( used host: Raja georgiana)",Amblyraja georgiana,Echinobothrium acanthocolle,16430
"CAIRA, J.N. et.al. (2013) [19536]",Amblyraja georgiana,Echinobothrium acanthocolle,19536
"WOJCIECHOWSKA, A. (1990) [16451] ( used host: Raja georgiana)",Amblyraja georgiana,Pseudanthobothrium notogeorgianum,16451
"ROCKA, A. (2003) [21490] ( used host: Raja georgiana)",Amblyraja georgiana,Pseudanthobothrium notogeorgianum,21490
"UTEVSKY, A. et.al. (2015) [22830] ( used host: Raja georgiana)",Amblyraja georgiana,Ceratobdella quadricornuta,22830
"ROKICKI, J. et.al. (2001) [17258] ( used host: Raja hyperborea)",Amblyraja hyperborea,Rajonchocotyle batis,17258
"ROKICKI, J. et.al. (2001) [17258] ( used host: Raja hyperborea)",Amblyraja hyperborea,Anisakis simplex,17258
"ROKICKI, J. et.al. (2001) [17258] (used parasite: Pseudanisakis tricupola | used host: Raja hyperborea)",Amblyraja hyperborea,Metanisakis tricupola,17258
"ROKICKI, J. et.al. (2001) [17258] ( used host: Raja hyperborea)",Amblyraja hyperborea,Schistobrachia ramosa,17258
"BALL, I.R. et.al. (1976) [23601] ( used host: Raja radiata)",Amblyraja radiata,Micropharynx parasitica,23601
"KHAN, R.A. et.al. (1991) [21433] ( used host: Raja radiata)",Amblyraja radiata,Trypanosoma rajae,21433
"KHAN, R.A. et.al. (1991) [21433] ( used host: Raja radiata)",Amblyraja radiata,Haemogregarina delagei,21433
"SPROSTON, N.G. (1946) [17150] ( used host: Raja radiata)",Amblyraja radiata,Acanthocotyle borealis,17150
"SPROSTON, N.G. (1946) [17150] ( used host: Raja radiata)",Amblyraja radiata,Calicotyle kroyeri,17150
"KEARN, G.C. (1987) [15244] ( used host: Raja radiata)",Amblyraja radiata,Calicotyle kroyeri,15244
"CHISHOLM, L.A. et.al. (1997) [17436] ( used host: Raja radiata)",Amblyraja radiata,Calicotyle kroyeri,17436
"CHISHOLM, L.A. et.al. (2001) [7377] ( used host: Raja radiata)",Amblyraja radiata,Calicotyle kroyeri,7377
"CHISHOLM, L.A. et.al. (2001) [23992] ( used host: Raja radiata)",Amblyraja radiata,Calicotyle kroyeri,23992
"SPROSTON, N.G. (1946) [17150] ( used host: Raja radiata)",Amblyraja radiata,Dictyocotyle coeliaca,17150
"HUNTER, G.C. et.al. (1950) [15076] ( used host: Raja radiata)",Amblyraja radiata,Dictyocotyle coeliaca,15076
"KEARN, G.C. (1975) [15251] ( used host: Raja radiata)",Amblyraja radiata,Dictyocotyle coeliaca,15251
"CHISHOLM, L.A. et.al. (1997) [17436] ( used host: Raja radiata)",Amblyraja radiata,Dictyocotyle coeliaca,17436
"CHISHOLM, L.A. et.al. (2001) [23992] ( used host: Raja radiata)",Amblyraja radiata,Dictyocotyle coeliaca,23992
"PODDUBNAYA, L.G. et.al. (2016) [23432]",Amblyraja radiata,Dictyocotyle coeliaca,23432
"BRUŇANSKÁ, M. et.al. (2017) [24899]",Amblyraja radiata,Dictyocotyle coeliaca,24899
"PRICE, E.W. (1938) [17134] (used parasite: Acanthocotyle verrilli | used host: Raja radiata)",Amblyraja radiata,Pseudacanthocotyla verrilli,17134
"SPROSTON, N.G. (1946) [17150] (used parasite: Acanthocotyle verrilli | used host: Raja radiata)",Amblyraja radiata,Pseudacanthocotyla verrilli,17150
"HENDRIX, S.S. (1994) [17205]",Amblyraja radiata,Pseudacanthocotyla verrilli,17205
"ROKICKI, J. et.al. (2001) [17258]",Amblyraja radiata,Pseudacanthocotyla verrilli,17258
"ROKICKI, J. et.al. (2001) [17258] ( used host: Raja radiata)",Amblyraja radiata,Rajonchocotyle batis,17258
"COHEN, S.C. et.al. (2013) [22565]",Amblyraja radiata,Rajonchocotyle emarginata,22565
"PODDUBNAYA, L.G. et.al. (2015) [22485]",Amblyraja radiata,Rajonchocotyle emarginata,22485
"PODDUBNAYA, L.G. et.al. (2016) [24074]",Amblyraja radiata,Rajonchocotyle emarginata,24074
"MYERS, B.J. (1959) [12575] ( used host: Raja radiata)",Amblyraja radiata,Acanthobothrium coronatum,12575
"WILLIAMS, H.H. (1969) [16448] ( used host: Raja radiata)",Amblyraja radiata,Acanthobothrium coronatum,16448
"HELLER, A.F. (1949) [16324] ( used host: Raia scabrata)",Amblyraja radiata,Anthobothrium cornucopia,16324
"MYERS, B.J. (1959) [12575] ( used host: Raja radiata)",Amblyraja radiata,Anthobothrium cornucopia,12575
"MYERS, B.J. (1959) [12575] ( used host: Raja radiata)",Amblyraja radiata,Anthobothrium variabile,12575
"WILLIAMS, H.H. (1968) [16443] (used parasite: Phyllobothrium rigii | used host: Raja radiata)",Amblyraja radiata,Calyptrobothrium riggii,16443
"ROKICKI, J. et.al. (2001) [17258] ( used host: Raja radiata)",Amblyraja radiata,Echeneibothrium affine,17258
"KEELING, C.P. et.al. (1996) [16342] ( used host: Raja radiata)",Amblyraja radiata,Echeneibothrium canadensis,16342
"KEELING, C.P. et.al. (1996) [12591] ( used host: Raja radiata)",Amblyraja radiata,Echeneibothrium canadensis,12591
"RANDHAWA, H.S. et.al. (2007) [16148]",Amblyraja radiata,Echeneibothrium canadensis,16148
"RANDHAWA, H.S. et.al. (2008) [7574]",Amblyraja radiata,Echeneibothrium canadensis,7574
"CAMPBELL, R.A. (1977) [16275] ( used host: Raja radiata)",Amblyraja radiata,Echeneibothrium dubium,16275
"RANDHAWA, H.S. et.al. (2008) [7574]",Amblyraja radiata,Echeneibothrium dubium,7574
"MYERS, B.J. (1959) [12575] ( used host: Raja radiata)",Amblyraja radiata,Echeneibothrium variabile,12575
"HELLER, A.F. (1949) [16324] ( used host: Raia scabrata)",Amblyraja radiata,Echinobothrium raji,16324
"TYLER, G.A. (2006) [16430]",Amblyraja radiata,Echinobothrium raji,16430
"CAIRA, J.N. et.al. (2013) [19536]",Amblyraja radiata,Echinobothrium raji,19536
"BEVERIDGE, I. et.al. (2007) [7411]",Amblyraja radiata,Grillotia brayi,7411
"PALM, H.W. (2004) [16112]",Amblyraja radiata,Grillotia dollfusi,16112
"PALM, H.W. (2004) [16112]",Amblyraja radiata,Grillotia erinaceus,16112
"BEVERIDGE, I. et.al. (2007) [7411]",Amblyraja radiata,Grillotia erinaceus,7411
"PALM, H.W. et.al. (2009) [15747] ( used host: Raja radiata)",Amblyraja radiata,Grillotia erinaceus,15747
"HELLER, A.F. (1949) [16324] ( used host: Raia scabrata)",Amblyraja radiata,Grillotia sp,16324
"PALM, H.W. (2004) [16112]",Amblyraja radiata,Grillotia sp,16112
"RANDHAWA, H.S. (2012) [17504]",Amblyraja radiata,Grillotia sp,17504
"HELLER, A.F. (1949) [16324] (used parasite: Phyllobothrium dagnalli | used host: Raia scabrata)",Amblyraja radiata,Phyllobothrium dagnallium,16324
"WILLIAMS, H.H. (1968) [16443] ( used host: Raja radiata)",Amblyraja radiata,Phyllobothrium lactuca,16443
"MYERS, B.J. (1959) [12575] ( used host: Raja radiata)",Amblyraja radiata,Phyllobothrium sp,12575
"WILLIAMS, H.H. (1968) [16443] ( used host: Raja radiata)",Amblyraja radiata,Phyllobothrium sp,16443
"WILLIAMS, H.H. (1968) [16443] ( used host: Raja radiata)",Amblyraja radiata,Phyllobothrium thridax,16443
"BAER, J.G. (1956) [16248] ( used host: Raja radiata)",Amblyraja radiata,Pseudanthobothrium hanseni,16248
"RANDHAWA, H.S. et.al. (2007) [16148]",Amblyraja radiata,Pseudanthobothrium hanseni,16148
"RANDHAWA, H.S. et.al. (2008) [7413]",Amblyraja radiata,Pseudanthobothrium hanseni,7413
"RANDHAWA, H.S. et.al. (2008) [7574]",Amblyraja radiata,Pseudanthobothrium hanseni,7574
"RANDHAWA, H.S. (2012) [17504]",Amblyraja radiata,Pseudanthobothrium hanseni,17504
"HELLER, A.F. (1949) [16324] (used parasite: Scyphophyllideum giganteum | used host: Raia scabrata)",Amblyraja radiata,Scyphophyllidium giganteum,16324
"ROKICKI, J. et.al. (2001) [17258] ( used host: Raja radiata)",Amblyraja radiata,Gonocerca phycidis,17258
"HELLER, A.F. (1949) [16324] ( used host: Raia scabrata)",Amblyraja radiata,Otodistomum cestoides,16324
"ROKICKI, J. et.al. (2001) [17258] ( used host: Raja radiata)",Amblyraja radiata,Otodistomum cestoides,17258
"OLSSON, P. (1876) [22616] (used parasite: Distoma veliporum | used host: Raja radiata)",Amblyraja radiata,Otodistomum veliporum,22616
"MYERS, B.J. (1959) [12575] ( used host: Raja radiata)",Amblyraja radiata,Otodistomum veliporum,12575
"ROKICKI, J. et.al. (2001) [17258] ( used host: Raja radiata)",Amblyraja radiata,Anisakis simplex,17258
"MYERS, B.J. (1959) [12575] ( used host: Raja radiata)",Amblyraja radiata,Anisakis sp,12575
"BRUCE, N.L. et.al. (1994) [17029] ( used host: Raja radiata)",Amblyraja radiata,Contracaecum plagiostomorum,17029
"ROKICKI, J. et.al. (2001) [17258] ( used host: Raja radiata)",Amblyraja radiata,Contracaecum sp,17258
"BRUCE, N.L. et.al. (1994) [17029] (used parasite: Pseudanisakis tricupola | used host: Raja radiata)",Amblyraja radiata,Metanisakis tricupola,17029
"ROKICKI, J. et.al. (2001) [17258] (used parasite: Pseudanisakis tricupola | used host: Raja radiata)",Amblyraja radiata,Metanisakis tricupola,17258
"MYERS, B.J. (1959) [12575] (used parasite: Eustoma rotundatum | used host: Raja radiata)",Amblyraja radiata,Pseudanisakis rotundata,12575
"WILLIAMS, H.H. et.al. (1968) [19875] ( used host: Raia radiata)",Amblyraja radiata,Pseudanisakis rotundata,19875
"RANDHAWA, H.S. (2012) [17504]",Amblyraja radiata,Pseudanisakis sp,17504
"BOXSHALL, G.A. (1974) [16560] (used parasite: Acanthochondrites inflatus | used host: Raja radiata)",Amblyraja radiata,Acanthochondrites annulatus,16560
"BOXSHALL, G.A. (1974) [16598] (used parasite: Acanthochondrites inflatus | used host: Raja radiata)",Amblyraja radiata,Acanthochondrites annulatus,16598
"BOXSHALL, G.A. (1974) [16598] ( used host: Raja radiata)",Amblyraja radiata,Caligus elongatus,16598
"HELLER, A.F. (1949) [16324] (used parasite: Charopinus cameroni | used host: Raia scabrata)",Amblyraja radiata,Dendrapta cameroni,16324
"BOXSHALL, G.A. (1974) [16598] ( used host: Raja radiata)",Amblyraja radiata,Eudactylina similis,16598
"BOXSHALL, G.A. (1974) [16598] (used parasite: Lernaeopodina cluthae | used host: Raja radiata)",Amblyraja radiata,Lernaeopodina longimana,16598
"ROKICKI, J. et.al. (2001) [17258] ( used host: Raja radiata)",Amblyraja radiata,Lernaeopodina longimana,17258
"ROKICKI, J. et.al. (2001) [17258] ( used host: Raja radiata)",Amblyraja radiata,Schistobrachia ramosa,17258
"MOREIRA, P.S. et.al. (1978) [23898] ( used host: Raja radiata)",Amblyraja radiata,Aega psora,23898
"SOUTHWELL, T. (1911) [17129] (used parasite: Cephalobothrium variabile | used host: Pristis cuspidatus)",Anoxypristis cuspidata,Floriparicapitus variabilis,17129
"CIELOCHA, J.J. et.al. (2014) [21566]",Anoxypristis cuspidata,Floriparicapitus variabilis,21566
"BEVERIDGE, I. et.al. (2005) [7395]",Anoxypristis cuspidata,Fossobothrium perplexum,7395
"PALM, H.W. et.al. (2009) [15747]",Anoxypristis cuspidata,Fossobothrium perplexum,15747
"SCHAEFFNER, B.C. et.al. (2013) [17827]",Anoxypristis cuspidata,Fossobothrium perplexum,17827
"SOUTHWELL, T. (1927) [16410] ( used host: Pristis cuspidatus)",Anoxypristis cuspidata,Pedibothrium globicephalum,16410
"BAER, J.G. et.al. (1962) [17089] ( used host: Pristis cuspidatus)",Anoxypristis cuspidata,Pedibothrium globicephalum,17089
"SCHAEFFNER, B.C. et.al. (2013) [17827]",Anoxypristis cuspidata,Pristiorhynchus palmi,17827
"PALM, H.W. (2004) [16112]",Anoxypristis cuspidata,Proemotobothrium southwelli,16112
"SCHAEFFNER, B.C. et.al. (2013) [17827]",Anoxypristis cuspidata,Proemotobothrium southwelli,17827
"CAMPBELL, R.A. et.al. (1996) [16283]",Anoxypristis cuspidata,Pterobothrium acanthotruncatum,16283
"PALM, H.W. (2004) [16112]",Anoxypristis cuspidata,Pterobothrium acanthotruncatum,16112
"CAMPBELL, R.A. et.al. (2009) [16972]",Anoxypristis cuspidata,Pterobothrium australiense,16972
